Dot Point Measurements

Generated: Tuesday 16 May 2023 08:50:27

Filename	Frame	Time (mins)	Image row	Image col	Date	Location	Site #	Transect #	Latitude	Longitude	Rugosity	Depth	Collector	Fishing status	Spare	Spare	OpCode	Period	Frame info 3	Frame info 4	Frame info 5	Frame info 6	CATAMI_L2_L3	CATAMI_L4	CATAMI_L5	Relief					Radius %
SAL-BV-001_1_01_Left_MAH01334.MP4_0075203.jpg	      0		1057	1185													SAL-BV-001	1					Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						43.5
SAL-BV-001_1_01_Left_MAH01334.MP4_0075203.jpg	      0		777	1595													SAL-BV-001	1					Substrate > Consolidated (hard)	Rock							76.8
SAL-BV-001_1_01_Left_MAH01334.MP4_0075203.jpg	      0		763	1255													SAL-BV-001	1					Unscorable								38.0
SAL-BV-001_1_01_Left_MAH01334.MP4_0075203.jpg	      0		1062	1670													SAL-BV-001	1					Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						91.2
SAL-BV-001_1_01_Left_MAH01334.MP4_0075203.jpg	      0		918	1310													SAL-BV-001	1					Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						46.9
SAL-BV-001_1_01_Left_MAH01334.MP4_0075203.jpg	      0		747	178													SAL-BV-001	1					Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						85.5
SAL-BV-001_1_01_Left_MAH01334.MP4_0075203.jpg	      0		934	452													SAL-BV-001	1					Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						56.8
SAL-BV-001_1_01_Left_MAH01334.MP4_0075203.jpg	      0		572	1584													SAL-BV-001	1					Substrate > Consolidated (hard)	Rock							79.3
SAL-BV-001_1_01_Left_MAH01334.MP4_0075203.jpg	      0		869	898													SAL-BV-001	1					Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						10.5
SAL-BV-001_1_01_Left_MAH01334.MP4_0075203.jpg	      0		583	940													SAL-BV-001	1					Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						22.8
SAL-BV-001_1_01_Left_MAH01334.MP4_0075203.jpg	      0		694	1292													SAL-BV-001	1					Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						43.3
SAL-BV-001_1_01_Left_MAH01334.MP4_0075203.jpg	      0		634	555													SAL-BV-001	1					Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						45.6
SAL-BV-001_1_01_Left_MAH01334.MP4_0075203.jpg	      0		599	243													SAL-BV-001	1					Unscorable								80.7
SAL-BV-001_1_01_Left_MAH01334.MP4_0075203.jpg	      0		585	286													SAL-BV-001	1					Unscorable								76.5
SAL-BV-001_1_01_Left_MAH01334.MP4_0075203.jpg	      0		815	1068													SAL-BV-001	1					Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						16.9
SAL-BV-001_1_01_Left_MAH01334.MP4_0075203.jpg	      0		966	651													SAL-BV-001	1					Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						37.7
SAL-BV-001_1_01_Left_MAH01334.MP4_0075203.jpg	      0		766	154													SAL-BV-001	1					Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						88.2
SAL-BV-001_1_01_Left_MAH01334.MP4_0075203.jpg	      0		844	1628													SAL-BV-001	1					Unscorable								80.9
SAL-BV-001_1_01_Left_MAH01334.MP4_0075203.jpg	      0		851	1466													SAL-BV-001	1					Substrate > Consolidated (hard)	Rock							62.5
SAL-BV-001_1_01_Left_MAH01334.MP4_0075203.jpg	      0		594	71													SAL-BV-001	1					Unscorable								100.0
