Dot Point Measurements																									
																									
Generated: Friday 03 February 2023 10:53:11																									
																									
Filename	Frame	Time (mins)	Image row	Image col	Date	Location	Site #	Transect #	Latitude	Longitude	Rugosity	Depth	Collector	Fishing status	Spare	Spare	CATAMI_L2_L3	CATAMI_L4	CATAMI_L5	CATAMI_L6_L7	AMC	FieldOfView	Relief	uuid	Radius %
F_1.jpg	0		727	897	202204	FranklinAMP							AB				Bedforms > 2D	Waves (>10cm height)			Unidentifiable	Open	"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope"	f8f0be68-8462-452c-9150-cf1a6701ec48	61.5
F_1.jpg	0		771	528	202204	FranklinAMP							AB				Bedforms > 2D	Waves (>10cm height)			Unidentifiable	Open	"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope"	f8f0be68-8462-452c-9150-cf1a6701ec48	77.2
F_1.jpg	0		602	1442	202204	FranklinAMP							AB				Unscorable				Unidentifiable	Open	"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope"	2a00a85e-6675-4d69-ab4f-197992dcead7	46.2
F_1.jpg	0		1071	959	202204	FranklinAMP							AB				Bedforms > 2D	Waves (>10cm height)			Unidentifiable	Open	"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope"	f8f0be68-8462-452c-9150-cf1a6701ec48	51.1
F_1.jpg	0		756	1804	202204	FranklinAMP							AB				Unscorable				Unidentifiable	Open	"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope"	2a00a85e-6675-4d69-ab4f-197992dcead7	32.1
F_1.jpg	0		893	1718	202204	FranklinAMP							AB				Bedforms > 2D	Waves (>10cm height)			Unidentifiable	Open	"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope"	f8f0be68-8462-452c-9150-cf1a6701ec48	26.6
F_1.jpg	0		604	1060	202204	FranklinAMP							AB				Unscorable				Unidentifiable	Open	"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope"	2a00a85e-6675-4d69-ab4f-197992dcead7	58.7
F_1.jpg	0		963	1490	202204	FranklinAMP							AB				Bedforms > 2D	Waves (>10cm height)			Unidentifiable	Open	"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope"	f8f0be68-8462-452c-9150-cf1a6701ec48	30.1
F_1.jpg	0		616	344	202204	FranklinAMP							AB				Unscorable				Unidentifiable	Open	"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope"	2a00a85e-6675-4d69-ab4f-197992dcead7	89.1
F_1.jpg	0		674	210	202204	FranklinAMP							AB				Unscorable				Unidentifiable	Open	"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope"	2a00a85e-6675-4d69-ab4f-197992dcead7	94.1
