Dot Point Measurements

Generated: Tuesday 16 May 2023 08:50:27

Filename	Frame	Time (mins)	Image row	Image col	Date	Location	Site #	Transect #	Latitude	Longitude	Rugosity	Depth	Collector	Fishing status	Spare	Spare	OpCode	Period	Frame info 3	Frame info 4	Frame info 5	Frame info 6	CATAMI_L2_L3	CATAMI_L4	CATAMI_L5	Relief					Radius %
TER-BV-01_1_01_Left_MAH00137.MP4_0035938.jpg	      0		581	1489													TER-BV-01	1					Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						56.0
TER-BV-01_1_01_Left_MAH00137.MP4_0035938.jpg	      0		694	735													TER-BV-01	1					Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						33.0
TER-BV-01_1_01_Left_MAH00137.MP4_0035938.jpg	      0		1003	602													TER-BV-01	1					Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						49.3
TER-BV-01_1_01_Left_MAH00137.MP4_0035938.jpg	      0		783	527													TER-BV-01	1					Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						52.9
TER-BV-01_1_01_Left_MAH00137.MP4_0035938.jpg	      0		884	738													TER-BV-01	1					Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						31.2
TER-BV-01_1_01_Left_MAH00137.MP4_0035938.jpg	      0		817	1597													TER-BV-01	1					Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						61.8
TER-BV-01_1_01_Left_MAH00137.MP4_0035938.jpg	      0		1009	1354													TER-BV-01	1					Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						41.5
TER-BV-01_1_01_Left_MAH00137.MP4_0035938.jpg	      0		726	567													TER-BV-01	1					Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						49.3
TER-BV-01_1_01_Left_MAH00137.MP4_0035938.jpg	      0		1052	949													TER-BV-01	1					Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						26.8
TER-BV-01_1_01_Left_MAH00137.MP4_0035938.jpg	      0		813	1711													TER-BV-01	1					Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						74.0
TER-BV-01_1_01_Left_MAH00137.MP4_0035938.jpg	      0		880	1318													TER-BV-01	1					Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						32.8
TER-BV-01_1_01_Left_MAH00137.MP4_0035938.jpg	      0		837	314													TER-BV-01	1					Substrate > Consolidated (hard)	Rock							75.7
TER-BV-01_1_01_Left_MAH00137.MP4_0035938.jpg	      0		972	1405													TER-BV-01	1					Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						44.7
TER-BV-01_1_01_Left_MAH00137.MP4_0035938.jpg	      0		678	407													TER-BV-01	1					Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						67.2
TER-BV-01_1_01_Left_MAH00137.MP4_0035938.jpg	      0		553	873													TER-BV-01	1					Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						31.8
