campaignid,sample,broad.ascidians,broad.bryozoa,broad.consolidated,broad.crinoids,broad.hydroids,broad.invertebrate.complex,broad.macroalgae,broad.octocoral.black,broad.reef,broad.seagrasses,broad.sponges,broad.stony.corals,broad.total.points.annotated,broad.true.anemones,broad.unconsolidated,fov.facing.up,fov.limited,fov.open,mean.relief,method,sd.relief,planned.or.exploratory,latitude,longitude,date,time,location,site,depth,successful.count,successful.length,commonwealth.zone,state.zone,status
2020-10_south-west_stereo-BRUVs,FH41,0,1,7,0,0,0,11,0,35,14,2,0,35,0,0,0,2,34,2.870967742,BRUV,0.340777101,MBH,-33.67118897,114.8388721,20201012,8:01:00,South-west,C.FH.1,44.1,Yes,Yes,Special Purpose Zone (Mining Exclusion),NA,Fished
2020-10_south-west_stereo-BRUVs,FH42,0,0,2,0,0,0,25,0,34,6,1,0,35,0,1,0,1,39,2.888888889,BRUV,0.320256308,MBH,-33.88118897,114.8113721,20201013,7:38:00,South-west,C.FH.16,45.7,Yes,Yes,Special Purpose Zone (Mining Exclusion),NA,Fished
2020-10_south-west_stereo-BRUVs,FH44,0,0,3,0,0,0,6,0,21,10,2,0,31,0,10,0,2,36,2.538461538,BRUV,0.706018086,MBH,-33.77118897,114.8638721,20201017,11:28:00,South-west,C.FH.10,43.3,Yes,Yes,Special Purpose Zone (Mining Exclusion),NA,Fished
2020-10_south-west_stereo-BRUVs,FH45,0,0,1,0,0,0,16,0,21,4,0,0,26,0,5,0,1,39,2.608695652,BRUV,0.656376447,MBH,-33.69368897,114.7988721,20201012,10:39:00,South-west,C.FH.4,47.6,Yes,Yes,Special Purpose Zone (Mining Exclusion),NA,Fished
2020-10_south-west_stereo-BRUVs,FH46,0,0,0,0,0,0,5,0,6,0,1,0,30,0,24,0,3,37,0.95,BRUV,0.825577947,MBH,-33.76618897,114.9288721,20201017,9:28:00,South-west,C.FH.9,44.9,Yes,Yes,NA,NA,Fished
2020-10_south-west_stereo-BRUVs,FH47,0,0,9,0,0,0,17,0,31,5,0,0,32,0,1,0,3,34,2.458333333,BRUV,0.508977378,MBH,-33.90618897,114.8488721,20201013,8:09:00,South-west,C.FH.19,43.5,Yes,Yes,Special Purpose Zone (Mining Exclusion),NA,Fished
2020-10_south-west_stereo-BRUVs,FH48,2,1,1,0,0,3,2,0,17,3,5,0,17,0,0,0,3,17,2.7,BRUV,0.470162346,MBH,-33.79618897,114.8138721,20201012,13:23:00,South-west,C.FH.12,48.5,Yes,reconvert R videos,Special Purpose Zone (Mining Exclusion),NA,Fished
2020-10_south-west_stereo-BRUVs,FH49,0,1,5,0,0,0,12,0,28,0,10,0,31,0,3,0,1,38,2.5,BRUV,0.512989176,MBH,-33.92118897,114.9163721,20201029,13:00:00,South-west,C.FH.20,43.9,Yes,Yes,Special Purpose Zone (Mining Exclusion),NA,Fished
2020-10_south-west_stereo-BRUVs,FH5,0,0,8,0,0,0,2,0,22,10,2,0,24,0,2,0,5,35,2.181818182,BRUV,0.852802865,MBH,-33.69368897,114.9413721,20201017,8:46:00,South-west,C.FH.5,44.5,Yes,Yes,NA,Injidup Sanctuary Zone,No-take
2020-10_south-west_stereo-BRUVs,FH50,0,0,0,0,0,0,0,0,0,0,0,0,26,0,26,0,1,39,0,BRUV,0,MBH,-33.68118897,114.9313721,20201017,6:51:00,South-west,C.FH.3,44.6,Yes,Yes,NA,Injidup Sanctuary Zone,No-take
2020-10_south-west_stereo-BRUVs,FH51,0,0,4,0,0,0,8,0,32,18,2,0,36,0,4,0,2,38,2.71875,BRUV,0.581120997,MBH,-33.90618897,114.8538721,20201013,8:06:00,South-west,C.FH.19,43,Yes,Yes,Special Purpose Zone (Mining Exclusion),NA,Fished
2020-10_south-west_stereo-BRUVs,FH52,0,0,17,0,0,1,1,0,28,8,1,0,35,0,7,0,4,28,2.222222222,BRUV,0.751067616,MBH,-33.99118897,114.8888721,20201013,12:36:00,South-west,C.FH.24,42.1,Yes,Yes,Special Purpose Zone (Mining Exclusion),NA,Fished
2020-10_south-west_stereo-BRUVs,FH54,0,0,0,0,0,0,24,0,27,0,3,0,36,0,9,0,1,39,2.185185185,BRUV,0.395847391,MBH,-33.76618897,114.9388721,20201017,9:20:00,South-west,C.FH.9,43.2,Yes,No,NA,NA,Fished
2020-10_south-west_stereo-BRUVs,FH55,0,0,0,0,0,0,1,0,2,0,1,0,33,0,31,0,1,39,0.703703704,BRUV,0.868899163,MBH,-33.92368897,114.9088721,20201029,12:52:00,South-west,C.FH.20,44.9,Yes,Yes,Special Purpose Zone (Mining Exclusion),NA,Fished
2020-10_south-west_stereo-BRUVs,FH56,0,0,11,0,1,0,5,0,25,5,3,0,29,0,4,0,1,33,2.884615385,BRUV,0.325812594,MBH,-33.83118897,114.8663721,20201012,15:31:00,South-west,C.FH.14,43.5,Yes,Yes,Special Purpose Zone (Mining Exclusion),NA,Fished
2020-10_south-west_stereo-BRUVs,FH57,0,2,6,0,0,0,5,0,22,1,8,0,35,0,13,0,3,34,2.185185185,BRUV,0.921413506,MBH,-33.78868897,114.8113721,20201012,13:12:00,South-west,C.FH.12,45.8,Yes,Yes,Special Purpose Zone (Mining Exclusion),NA,Fished
2020-10_south-west_stereo-BRUVs,FH58,0,0,4,0,0,0,11,0,18,3,0,0,32,0,14,0,2,37,2.173913043,BRUV,0.716822148,MBH,-33.66368897,114.8413721,20201012,7:47:00,South-west,C.FH.1,45.1,Yes,Yes,Special Purpose Zone (Mining Exclusion),NA,Fished
2020-10_south-west_stereo-BRUVs,FH59,0,0,2,0,0,0,8,0,10,0,0,0,16,0,6,0,4,16,1.8,BRUV,0.560611911,MBH,-33.66868897,114.8188721,20201012,8:32:00,South-west,C.FH.2,44.6,Yes,reconvert R videos,Special Purpose Zone (Mining Exclusion),NA,Fished
2020-10_south-west_stereo-BRUVs,FH6,0,0,0,0,0,0,7,0,10,3,0,0,11,0,1,0,2,18,2.4,BRUV,0.516397779,MBH,-33.70618897,114.8213721,20201012,10:50:00,South-west,C.FH.6,46,Yes,Yes,Special Purpose Zone (Mining Exclusion),NA,Fished
